make,model,fuel,vehicle_category,weight_class,body_type,axle_count,payload_kg,gvw_kg,new_vehicle_price_anchor_inr,purpose_tags,spec_source_url,payload_is_estimated
Tata,Ace Gold,CNG,mini_truck,light,box,2,660,1630,650000,city_delivery|last_mile|fmcg|vegetable_delivery,https://smalltrucks.tatamotors.com/assets/smalltrucks/files/2025-01/ACE%20GOLD%20CNG.pdf,false
Tata,Ace Gold,Diesel,mini_truck,light,open,2,900,1835,700000,city_delivery|logistics|construction,https://smalltrucks.tatamotors.com/tata-ace-gold-diesel,false
Tata,Intra V10,Diesel,mini_truck,light,flatbed,2,1000,2120,750000,city_delivery|market_transport|logistics,https://smalltruckstest.tatamotors.com/tata-intra-v10,false
Tata,Intra V30 Gold,Diesel,pickup,light,open,2,1500,2775,850000,regional_delivery|construction|logistics,https://smalltrucks.tatamotors.com/tata-intra-v30-gold,false
Tata,Intra V50,Diesel,pickup,light,flatbed,2,1500,2940,925000,regional_delivery|construction|industrial_goods,https://smalltrucks.tatamotors.com/sites/default/files/product/brochure/Intra_V50%20Brochure%20Low%20res.pdf,false
Mahindra,Jeeto Strong Diesel,Diesel,mini_truck,light,box,2,815,1605,525000,city_delivery|last_mile|vegetable_delivery,https://mahindralastmilemobility.com/jeeto-strong-diesel-cargo,false
Mahindra,Bolero Pik-Up,Diesel,pickup,light,open,2,1700,3490,950000,regional_delivery|agriculture|construction,https://auto.mahindra.com/on/demandware.static/-/Sites-amc-Library/en_IN/-/media/project/mahindra/dotcom/mahindra/in-news---home/pr/brochure/1st.pdf,false
Ashok Leyland,Dost XL,Diesel,mini_truck,light,flatbed,2,1400,2625,850000,city_delivery|regional_delivery|logistics,https://www.ashokleyland.com/in/lightvehicles/smallcommercialvechicles/dost-xl/specification,false
Ashok Leyland,Bada Dost,CNG,mini_truck,light,reefer,2,1246,2880,900000,city_delivery|fmcg|regional_delivery,https://www.ashokleyland.com/in/lightvehicles/smallcommercialvechicles/bada-dost-cng/specification,false
Ashok Leyland,Bada Dost i4,Diesel,pickup,light,container,2,1825,3490,1000000,regional_delivery|construction|logistics,https://www.ashokleyland.com/in/lightvehicles/smallcommercialvechicles/bada-dost-i41/specification,false
Ashok Leyland,Bada Dost i5+,Diesel,pickup,light,flatbed,2,2114,3800,1100000,heavy_delivery|construction|industrial_goods,https://www.ashokleyland.com/in/lightvehicles/smallcommercialvechicles/bada-dost-i5-lx-2/specification,false
Ashok Leyland,Bada Dost i6,Diesel,pickup,light,open,2,2357,4100,1200000,heavy_delivery|construction|regional_delivery,https://www.ashokleyland.com/in/lightvehicles/smallcommercialvechicles/bada-dost-i6-lx/specification,false
Tata,Ultra T.16,Diesel,rigid_truck,medium,container,2,11000,16140,2500000,regional_delivery|ecommerce|fmcg|industrial_goods,https://trucks.tatamotors.com/ultra/tata-ultra-t16,true
