listing_id,make,model,year,price_inr,km_driven,fuel,payload_kg,gvw_kg,vehicle_category,weight_class,body_type,axle_count,city,papers_verified,condition,purpose_tags,spec_source_url
VEH-000001,Tata,Ultra T.16,2014,555000,178104,Diesel,11000,16140,rigid_truck,medium,container,2,Kolkata,true,excellent,regional_delivery|ecommerce|fmcg|industrial_goods,https://trucks.tatamotors.com/ultra/tata-ultra-t16
VEH-000002,Tata,Ultra T.9,2025,1470000,9512,Diesel,,9150,rigid_truck,intermediate,open,2,Delhi,true,good,regional_delivery|ecommerce|fmcg|industrial_goods,https://trucks.tatamotors.com/ultra/tata-ultra-t9
VEH-000003,Ashok Leyland,Partner 6 Tyre,2018,445000,194242,Diesel,4885,7490,rigid_truck,intermediate,open,2,Delhi,true,fair,city_delivery|regional_delivery|logistics|industrial_goods,https://www.ashokleyland.com/in/lightvehicles/smallcommercialvechicles/partner/specification?productId=1645
VEH-000004,Tata,Intra V30 Gold,2020,445000,54228,Diesel,1500,2775,pickup,light,open,2,Hyderabad,true,excellent,regional_delivery|construction|logistics,https://smalltrucks.tatamotors.com/tata-intra-v30-gold
VEH-000005,BharatBenz,1917R,2024,2475000,32212,Diesel,10000,18500,rigid_truck,medium,tanker,2,Jaipur,true,good,regional_delivery|fuel_transport|water_transport|industrial_goods,https://www.bharatbenz.com/trucks/mdt-specifications-1917r-73
VEH-000006,Tata,Ace Gold,2025,560000,25631,Diesel,900,1835,mini_truck,light,open,2,Delhi,true,good,city_delivery|logistics|construction,https://smalltrucks.tatamotors.com/tata-ace-gold-diesel
VEH-000007,Ashok Leyland,Bada Dost i5+,2020,480000,74782,Diesel,2114,3800,pickup,light,flatbed,2,Nagpur,true,good,heavy_delivery|construction|industrial_goods,https://www.ashokleyland.com/in/lightvehicles/smallcommercialvechicles/bada-dost-i5-lx-2/specification
VEH-000008,Tata,Ultra T.16,2017,700000,250404,Diesel,11000,16140,rigid_truck,medium,container,2,Nagpur,true,good,regional_delivery|ecommerce|fmcg|industrial_goods,https://trucks.tatamotors.com/ultra/tata-ultra-t16
VEH-000009,Mahindra,Jeeto Strong Diesel,2025,395000,17999,Diesel,815,1605,mini_truck,light,box,2,Mumbai,false,fair,city_delivery|last_mile|vegetable_delivery,https://mahindralastmilemobility.com/jeeto-strong-diesel-cargo
VEH-000010,Eicher,Pro 2059 Plus,2022,630000,117862,Diesel,,7490,rigid_truck,intermediate,open,2,Delhi,true,fair,city_delivery|last_mile|ecommerce|fmcg,https://www.eichertrucksandbuses.com/light-medium-duty-trucks/light-duty/pro-2059
VEH-000011,BharatBenz,1917R,2021,1225000,169257,Diesel,10000,18500,rigid_truck,medium,tanker,2,Delhi,false,fair,regional_delivery|fuel_transport|water_transport|industrial_goods,https://www.bharatbenz.com/trucks/mdt-specifications-1917r-73
VEH-000012,Tata,Ultra T.9,2025,1715000,9579,Diesel,,9150,rigid_truck,intermediate,open,2,Hyderabad,true,excellent,regional_delivery|ecommerce|fmcg|industrial_goods,https://trucks.tatamotors.com/ultra/tata-ultra-t9
VEH-000013,BharatBenz,1015R,2017,520000,180564,Diesel,,10600,rigid_truck,intermediate,box,2,Chennai,true,fair,regional_delivery|fmcg|cold_chain|market_transport,https://www.bharatbenz.com/trucks/mdt-specifications-1015r-41
VEH-000014,Eicher,Pro 2059 Plus,2015,325000,169701,Diesel,,7490,rigid_truck,intermediate,open,2,Indore,false,good,city_delivery|last_mile|ecommerce|fmcg,https://www.eichertrucksandbuses.com/light-medium-duty-trucks/light-duty/pro-2059
VEH-000015,Ashok Leyland,Bada Dost,2023,460000,89152,CNG,1246,2880,mini_truck,light,reefer,2,Hyderabad,true,fair,city_delivery|fmcg|regional_delivery,https://www.ashokleyland.com/in/lightvehicles/smallcommercialvechicles/bada-dost-cng/specification
VEH-000016,Tata,Intra V10,2017,195000,365334,Diesel,1000,2120,mini_truck,light,flatbed,2,Ahmedabad,true,fair,city_delivery|market_transport|logistics,https://smalltruckstest.tatamotors.com/tata-intra-v10
VEH-000017,Tata,Intra V50,2022,525000,34462,Diesel,1500,2940,pickup,light,flatbed,2,Kolkata,true,good,regional_delivery|construction|industrial_goods,https://smalltrucks.tatamotors.com/sites/default/files/product/brochure/Intra_V50%20Brochure%20Low%20res.pdf
VEH-000018,BharatBenz,3528C,2023,2850000,39546,Diesel,20600,35000,rigid_truck,heavy,tipper,4,Ahmedabad,true,fair,mining|construction|infrastructure|aggregates,https://www.bharatbenz.com/uploads/truck_brochure/3528c-truck.pdf
VEH-000019,BharatBenz,3528C,2014,1240000,312382,Diesel,20600,35000,rigid_truck,heavy,tipper,4,Hyderabad,true,good,mining|construction|infrastructure|aggregates,https://www.bharatbenz.com/uploads/truck_brochure/3528c-truck.pdf
VEH-000020,Tata,Ultra T.9,2022,1130000,48053,Diesel,,9150,rigid_truck,intermediate,open,2,Hyderabad,true,excellent,regional_delivery|ecommerce|fmcg|industrial_goods,https://trucks.tatamotors.com/ultra/tata-ultra-t9
VEH-000021,Tata,Ultra T.16,2022,1210000,49109,Diesel,11000,16140,rigid_truck,medium,container,2,Delhi,true,fair,regional_delivery|ecommerce|fmcg|industrial_goods,https://trucks.tatamotors.com/ultra/tata-ultra-t16
VEH-000022,Tata,Intra V10,2014,170000,332746,Diesel,1000,2120,mini_truck,light,flatbed,2,Bengaluru,true,good,city_delivery|market_transport|logistics,https://smalltruckstest.tatamotors.com/tata-intra-v10
VEH-000023,Eicher,Pro 2118,2019,1030000,147812,Diesel,12800,18000,rigid_truck,medium,flatbed,2,Indore,true,good,regional_delivery|construction|industrial_goods|market_transport,https://www.eichertrucksandbuses.com/light-medium-duty-trucks/medium-duty/pro-2118
VEH-000024,Mahindra,Jeeto Strong Diesel,2024,380000,27314,Diesel,815,1605,mini_truck,light,box,2,Delhi,true,good,city_delivery|last_mile|vegetable_delivery,https://mahindralastmilemobility.com/jeeto-strong-diesel-cargo
VEH-000025,Tata,Signa 4932.T,2018,1950000,325648,Diesel,35300,49000,rigid_truck,heavy,flatbed,5,Indore,false,good,long_haul|industrial_goods|steel|market_transport,https://trucks.tatamotors.com/assets/trucks/files/2026-01/tata-signa-4932t.pdf
VEH-000026,Ashok Leyland,AVTR 4825 10x2,2023,3695000,63491,Diesel,32000,47500,rigid_truck,heavy,tipper,5,Mumbai,true,good,construction|coal|aggregates|roadwork,https://www.ashokleyland.com/in/pressrelease/ashok-leyland-launches-avtr-4825-10x2-tipper-with-tandem-dummy-axle
VEH-000027,Eicher,Pro 6048T,2018,1715000,133433,Diesel,32500,47500,rigid_truck,heavy,tipper,5,Ahmedabad,true,fair,mining|construction|coal|aggregates,https://www.eichertrucksandbuses.com/heavy-duty-trucks/tipper/pro-6048T
VEH-000028,Tata,Intra V50,2022,580000,41234,Diesel,1500,2940,pickup,light,flatbed,2,Mumbai,true,good,regional_delivery|construction|industrial_goods,https://smalltrucks.tatamotors.com/sites/default/files/product/brochure/Intra_V50%20Brochure%20Low%20res.pdf
VEH-000029,Mahindra,Furio 10,2023,1350000,36405,Diesel,6000,10350,rigid_truck,intermediate,box,2,Hyderabad,true,excellent,regional_delivery|ecommerce|fmcg|parcel_delivery,https://www.mahindratruckandbus.com/english/pdf/icv/furio-10.pdf
VEH-000030,Tata,Ace Gold,2016,180000,167009,Diesel,900,1835,mini_truck,light,open,2,Chennai,true,excellent,city_delivery|logistics|construction,https://smalltrucks.tatamotors.com/tata-ace-gold-diesel
VEH-000031,Tata,Intra V50,2022,450000,132727,Diesel,1500,2940,pickup,light,flatbed,2,Chennai,true,good,regional_delivery|construction|industrial_goods,https://smalltrucks.tatamotors.com/sites/default/files/product/brochure/Intra_V50%20Brochure%20Low%20res.pdf
VEH-000032,Tata,Ace Gold,2025,560000,24411,Diesel,900,1835,mini_truck,light,open,2,Ahmedabad,true,good,city_delivery|logistics|construction,https://smalltrucks.tatamotors.com/tata-ace-gold-diesel
VEH-000033,Mahindra,Jeeto Strong Diesel,2024,440000,29919,Diesel,815,1605,mini_truck,light,box,2,Chennai,true,excellent,city_delivery|last_mile|vegetable_delivery,https://mahindralastmilemobility.com/jeeto-strong-diesel-cargo
